urban_system_id,city,country_code,country_name,environment_score,environment_pm25_score,environment_pm25_year,environment_green_score,environment_green_year,mobility_score,public_transport_score,public_transport_year,economic_opportunity_score,employment_score,employment_year,unemployment_score,unemployment_year,perceived_safety_score,perceived_safety_year,community_score,community_year,life_satisfaction_score,life_satisfaction_year,housing_satisfaction_score,housing_satisfaction_year,profile_dimensions_available,profile_coverage_pct,explorer_eligible,environment_eligible,mobility_eligible,economic_eligible,extended_profile_eligible,radar_eligible,n_perception_dimensions
DK004,Aalborg,DK,Denmark,80.75,75.78,2025,85.71,2021,24.93,24.93,2023,,,,,,92.5,2023,99.38,2023,77.5,2023,98.75,2023,6,85.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4
EE001,Tallinn,EE,Estonia,63.2,92.61,2025,33.79,2021,56.1,56.1,2023,58.39,83.76,2024,33.02,2024,76.25,2023,31.25,2023,48.75,2023,43.75,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
EE002,Tartu,EE,Estonia,81.58,93.35,2025,69.82,2021,42.18,42.18,2023,,,,,,,,,,,,,,2,28.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0
EE003,Narva,EE,Estonia,,94.83,2025,,,34.48,34.48,2023,,,,,,,,,,,,,,1,14.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
EL001,Athina,EL,Greece,15.61,28.8,2025,2.41,2021,,,,16.33,16.24,2024,16.42,2024,,,,,,,,,2,28.6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
EL002,Thessaloniki,EL,Greece,12.94,23.78,2025,2.09,2021,,,,11.59,17.34,2024,5.85,2024,,,,,,,,,2,28.6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
EL003,Pátra,EL,Greece,67.88,91.14,2025,44.62,2021,,,,,,,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
EL004,Irakleio,EL,Greece,30.66,34.12,2025,27.21,2021,,,,,,,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
EL005,Larisa,EL,Greece,22.91,38.11,2025,7.7,2021,,,,,,,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
EL006,Volos,EL,Greece,31.18,50.07,2025,12.28,2021,,,,,,,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
EL007,Ioannina,EL,Greece,37.0,57.46,2025,16.53,2021,,,,,,,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
EL008,Kavala,EL,Greece,,47.27,2025,,,,,,,,,,,,,,,,,,,0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
EL009,Kalamata,EL,Greece,,88.77,2025,,,,,,,,,,,,,,,,,,,0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
EL010,Trikala,EL,Greece,,47.12,2025,,,,,,,,,,,,,,,,,,,0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
EL011,Serres,EL,Greece,,40.03,2025,,,,,,,,,,,,,,,,,,,0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
EL012,Katerini,EL,Greece,,52.14,2025,,,,,,,,,,,,,,,,,,,0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
EL013,Xanthi,EL,Greece,45.98,62.92,2025,29.05,2021,,,,,,,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
EL014,Chania,EL,Greece,40.62,38.55,2025,42.7,2021,,,,,,,,,,,,,,,,,1,14.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
ES001,Madrid,ES,Spain,44.53,82.87,2025,6.18,2021,44.3,44.3,2023,35.71,53.69,2024,17.74,2024,48.12,2023,48.75,2023,33.75,2023,55.0,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
ES002,Barcelona,ES,Spain,30.27,54.36,2025,6.18,2021,7.16,7.16,2023,39.28,54.61,2024,23.96,2024,40.0,2023,61.25,2023,21.25,2023,40.0,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
ES003,Valencia,ES,Spain,48.3,80.8,2025,15.81,2021,29.84,29.84,2023,17.34,26.75,2024,7.92,2024,,,,,,,,,3,42.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0
ES004,Sevilla,ES,Spain,39.01,67.5,2025,10.51,2021,,,,8.71,14.39,2024,3.02,2024,,,,,,,,,2,28.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
ES005,Zaragoza,ES,Spain,52.49,89.66,2025,15.33,2021,,,,33.32,39.85,2024,26.79,2024,,,,,,,,,2,28.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
ES006,Málaga,ES,Spain,43.02,59.38,2025,26.65,2021,7.96,7.96,2023,9.26,14.94,2024,3.58,2024,83.12,2023,73.75,2023,50.0,2023,90.0,2023,7,100.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4
ES007,Murcia,ES,Spain,70.61,55.1,2025,86.12,2021,,,,11.59,17.34,2024,5.85,2024,,,,,,,,,2,28.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0
